Marca temporal,¿Cuántas horas dormiste la noche anterior?,Nivel de ansiedad antes de empezar a estudiar,¿Qué tipo de materia estudiaste?,Técnica principal de estudio,Duración total de la sesión de estudio,Dificultad percibida del tema,¿Tomaste pausas durante la sesión?,Tipo principal de pausa,¿Cómo estudiaste esta sesión?,¿En qué momento del día estudiaste?,Nivel de concentración durante la sesión,Nivel de comprensión del tema
15/03/2026 09:12:10,8 o más,1,Programación / tecnología,Ejercicios / práctica,Más de 2 horas,3,"Sí, 2 pausas",Comí o tomé algo,Solo/a,Mañana,5,5
15/03/2026 10:45:33,6 - 7,2,Programación / tecnología,Resumen / escritura,1–2 horas,3,"Sí, 1 pausa",Caminé / me moví,Solo/a,Mañana,4,4
15/03/2026 14:18:51,4 - 5,4,Matemática / lógica,Lectura,30–60 min,4,"Sí, 2 pausas",Usé el celular,Solo/a,Tarde,2,2
15/03/2026 16:03:17,8 o más,2,Idiomas,Ejercicios / práctica,1–2 horas,2,"Sí, 1 pausa",Comí o tomé algo,Solo/a,Tarde,4,5
15/03/2026 20:11:42,4 - 5,5,Programación / tecnología,Lectura,30–60 min,5,"Sí, 3 o más",Usé el celular,Solo/a,Noche,1,2
16/03/2026 08:23:05,6 - 7,2,Programación / tecnología,Ejercicios / práctica,1–2 horas,3,"Sí, 2 pausas",Caminé / me moví,Solo/a,Mañana,5,4
16/03/2026 11:37:26,8 o más,1,Humanidades,Resumen / escritura,30–60 min,2,No,No hice pausas,Solo/a,Mañana,4,4
16/03/2026 15:42:18,6 - 7,3,Matemática / lógica,Ejercicios / práctica,Más de 2 horas,4,"Sí, 2 pausas",Comí o tomé algo,Solo/a,Tarde,4,4
16/03/2026 18:15:47,4 - 5,4,Otra,Video / clase grabada,1–2 horas,3,"Sí, 1 pausa",Usé el celular,Solo/a,Tarde,2,3
16/03/2026 22:07:55,0 - 3,5,Programación / tecnología,Resumen / escritura,30–60 min,5,"Sí, 3 o más",Usé el celular,Solo/a,Noche,1,1
17/03/2026 09:41:13,8 o más,2,Programación / tecnología,Ejercicios / práctica,Más de 2 horas,4,"Sí, 2 pausas",Comí o tomé algo,Solo/a,Mañana,5,5
17/03/2026 12:22:48,6 - 7,3,Idiomas,Lectura,30–60 min,2,"Sí, 1 pausa",Otra,Solo/a,Tarde,3,4
17/03/2026 14:58:36,4 - 5,4,Matemática / lógica,Resumen / escritura,1–2 horas,5,"Sí, 2 pausas",Usé el celular,Solo/a,Tarde,2,2
17/03/2026 17:30:19,6 - 7,2,Programación / tecnología,Ejercicios / práctica,1–2 horas,3,"Sí, 1 pausa",Comí o tomé algo,Con otras personas,Tarde,4,4
17/03/2026 21:14:07,8 o más,1,Programación / tecnología,Resumen / escritura,Más de 2 horas,2,"Sí, 2 pausas",Caminé / me moví,Solo/a,Noche,5,5
18/03/2026 08:55:32,6 - 7,2,Humanidades,Lectura,30–60 min,2,No,No hice pausas,Solo/a,Mañana,4,4
18/03/2026 13:44:11,4 - 5,5,Programación / tecnología,Ejercicios / práctica,30–60 min,5,"Sí, 3 o más",Usé el celular,Solo/a,Tarde,1,2
18/03/2026 16:18:49,8 o más,2,Matemática / lógica,Ejercicios / práctica,Más de 2 horas,4,"Sí, 2 pausas",Comí o tomé algo,Solo/a,Tarde,5,4
18/03/2026 19:57:25,6 - 7,3,Programación / tecnología,Video / clase grabada,1–2 horas,3,"Sí, 1 pausa",Otra,Solo/a,Noche,3,3
18/03/2026 22:35:44,0 - 3,5,Otra,Lectura,15–30 min,4,"Sí, 3 o más",Usé el celular,Solo/a,Madrugada,1,1
